Section,Category,Item Name,Description,Price
Veronica's Coffee,Hot Coffee,Espresso,"A balanced double shot, brewed hot",
Veronica's Coffee,Hot Coffee,Americano,Made by pouring hot water over a double espresso,
Veronica's Coffee,Hot Coffee,Cappuccino,"Double espresso, equal parts of steamed milk & foam",
Veronica's Coffee,Hot Coffee,Cafe Latte,Double espresso with steamed milk & a thin layer of foam,
Veronica's Coffee,Hot Coffee,Cortado,1:1 double espresso to milk,
Veronica's Coffee,Hot Coffee,Cafe Mocha,Double espresso with Veronica’s Secret Chocolate Sauce & textured milk,
Veronica's Coffee,Cold Coffee,Iced Latte,"Double espresso, milk, jaggery",
Veronica's Coffee,Cold Coffee,Vietnamese Coffee,"Double espresso, condensed milk",
Veronica's Coffee,Cold Coffee,Cold Brew,House cold brew blend,
Veronica's Coffee,Cold Coffee,Iced Almond Matcha Latte,,
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Panji Green Watana Rassa,Spicy fennel-mustard curry,
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Ananas Kaju Curry,"Tangy pineapple-coconut curry, stued chillies, curry leaf oil",
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Green Amaranth FOO-GATH,"Spicy amaranth saag, crispy garlic, chickpea tofu",
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Chicken Meatball Curry,"Toasted chilli & cilantro masala, toddy vinegar, pickled onions",
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Prawn Ambto,"Raw mango & turmeric curry, prawn oil",
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Beryl’s Fish Curry,Dried mango & kokum-coconut curry,
Lunch Plates- Monday - Friday | 12 pm - 3:30 pm,Lunch Plates,Valpoi Mutton Curry,"Spicy coconut & fried onion curry, baby potatoes",
Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Burrata & Avocado,Pickled onions & basil dressing,
Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Alsande DAN-GAR,"Crumb-fried cutlet, green mango chutney, water chestnut kachumber",
Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Poee Sandwiches - Monday - Friday | 12 pm - 7 pm,Chicken Meatball,Spicy coconut masala & pickled cucumbers,
